GRD Ref,Parent,Source Title,Short Source Title,Source Description,Archival Ref,Archive,Type
RTD167,,"R. Thoresby, Ducatus Leodiensis (London, 1816)",Ducatus Leodiensis,,p. 167,,Book
RTD216,,"R. Thoresby, Ducatus Leodiensis (London, 1816)",Ducatus Leodiensis,,p. 216,,Book
SAH,,"Purvis, J.S. (ed.) The Records of the Admiralty Court of York, St Anthony’s Hall Publications No. 22, York (1962).","Purvis, York Admiralty Court Records",,,,Book
SAL,,"Pickering, D. (ed.), The Statutes at Large from Magna Charta to ... 1761, Cambridge (1762). ","Pickering, Statutes at Large",References have the vol. no. and page.,,,Book
SAR,,"Tillotson, J.H. (ed.) Monastery and Society in the late Middle Ages: Selected account rolls from Selby Abbey, Yorkshire, 1398-1537 (Bury St Edmunds, 1988).","Tillotson, Selby Abbey account rolls 1398-1537",,,,Book
SAR141,"Tillotson, J.H. (ed.) Monastery and Society in the late Middle Ages: Selected account rolls from Selby Abbey, Yorkshire, 1398-1537 (Bury St Edmunds, 1988).","Selby Abbey Account Rolls: Br. Peter of Routhe (Granger), 1404-1405","Selby Abbey Granger account roll, 1404-05",,U DDLO/20/44,Hull History Centre,Archival
SAR102,"Tillotson, J.H. (ed.) Monastery and Society in the late Middle Ages: Selected account rolls from Selby Abbey, Yorkshire, 1398-1537 (Bury St Edmunds, 1988).","Selby Abbey Account Rolls: Br. William Snayth (Pittancer), 1441-1442","Selby Abbey Pittancer account roll, 1441-42",,U DDLO/20/21,Hull History Centre,Archival
SAR104,"Tillotson, J.H. (ed.) Monastery and Society in the late Middle Ages: Selected account rolls from Selby Abbey, Yorkshire, 1398-1537 (Bury St Edmunds, 1988).","Selby Abbey Account Rolls: Br. William Snayth (Pittancer), 1441-1442","Selby Abbey Pittancer account roll, 1441-42",,U DDLO/20/21,Hull History Centre,Archival
SAR105,"Tillotson, J.H. (ed.) Monastery and Society in the late Middle Ages: Selected account rolls from Selby Abbey, Yorkshire, 1398-1537 (Bury St Edmunds, 1988).","Selby Abbey Account Rolls: Br. William Snayth (Pittancer), 1441-1442","Selby Abbey Pittancer account roll, 1441-42",,U DDLO/20/21,Hull History Centre,Archival
SAR106,"Tillotson, J.H. (ed.) Monastery and Society in the late Middle Ages: Selected account rolls from Selby Abbey, Yorkshire, 1398-1537 (Bury St Edmunds, 1988).","Selby Abbey Account Rolls: Br. William Snayth (Pittancer), 1441-1442","Selby Abbey Pittancer account roll, 1441-42",,U DDLO/20/21,Hull History Centre,Archival
SAR107,"Tillotson, J.H. (ed.) Monastery and Society in the late Middle Ages: Selected account rolls from Selby Abbey, Yorkshire, 1398-1537 (Bury St Edmunds, 1988).","Selby Abbey Account Rolls: Br. William Snayth (Pittancer), 1441-1442","Selby Abbey Pittancer account roll, 1441-42",,U DDLO/20/21,Hull History Centre,Archival
SAR109,"Tillotson, J.H. (ed.) Monastery and Society in the late Middle Ages: Selected account rolls from Selby Abbey, Yorkshire, 1398-1537 (Bury St Edmunds, 1988).","Selby Abbey Account Rolls: Br. William Snayth (Pittancer), 1441-1442","Selby Abbey Pittancer account roll, 1441-42",,U DDLO/20/21,Hull History Centre,Archival
SAR110,"Tillotson, J.H. (ed.) Monastery and Society in the late Middle Ages: Selected account rolls from Selby Abbey, Yorkshire, 1398-1537 (Bury St Edmunds, 1988).","Selby Abbey Account Rolls: Br. William Snayth (Pittancer), 1441-1442","Selby Abbey Pittancer account roll, 1441-42",,U DDLO/20/21,Hull History Centre,Archival
SAR123,"Tillotson, J.H. (ed.) Monastery and Society in the late Middle Ages: Selected account rolls from Selby Abbey, Yorkshire, 1398-1537 (Bury St Edmunds, 1988).","Selby Abbey Account Rolls: Br. John Crossethwayt (Extern Cellarer), 1413-1414","Selby Abbey Extern Cellarer account roll, 1413-14",,U DDLO/20/54c,Hull History Centre,Archival
SAR124,"Tillotson, J.H. (ed.) Monastery and Society in the late Middle Ages: Selected account rolls from Selby Abbey, Yorkshire, 1398-1537 (Bury St Edmunds, 1988).","Selby Abbey Account Rolls: Br. John Crossethwayt (Extern Cellarer), 1413-1414","Selby Abbey Extern Cellarer account roll, 1413-14",,U DDLO/20/54c,Hull History Centre,Archival
SAR126,"Tillotson, J.H. (ed.) Monastery and Society in the late Middle Ages: Selected account rolls from Selby Abbey, Yorkshire, 1398-1537 (Bury St Edmunds, 1988).","Selby Abbey Account Rolls: Br. John Crossethwayt (Extern Cellarer), 1413-1414","Selby Abbey Extern Cellarer account roll, 1413-14",,U DDLO/20/54c,Hull History Centre,Archival
SAR133,"Tillotson, J.H. (ed.) Monastery and Society in the late Middle Ages: Selected account rolls from Selby Abbey, Yorkshire, 1398-1537 (Bury St Edmunds, 1988).","Selby Abbey Account Rolls: Br. Peter of Routhe (Granger), 1404-1405","Selby Abbey Granger account roll, 1404-05",,U DDLO/20/44,Hull History Centre,Archival
SAR134,"Tillotson, J.H. (ed.) Monastery and Society in the late Middle Ages: Selected account rolls from Selby Abbey, Yorkshire, 1398-1537 (Bury St Edmunds, 1988).","Selby Abbey Account Rolls: Br. Peter of Routhe (Granger), 1404-1405","Selby Abbey Granger account roll, 1404-05",,U DDLO/20/44,Hull History Centre,Archival
SAR135,"Tillotson, J.H. (ed.) Monastery and Society in the late Middle Ages: Selected account rolls from Selby Abbey, Yorkshire, 1398-1537 (Bury St Edmunds, 1988).","Selby Abbey Account Rolls: Br. Peter of Routhe (Granger), 1404-1405","Selby Abbey Granger account roll, 1404-05",,U DDLO/20/44,Hull History Centre,Archival
SAR136-7,"Tillotson, J.H. (ed.) Monastery and Society in the late Middle Ages: Selected account rolls from Selby Abbey, Yorkshire, 1398-1537 (Bury St Edmunds, 1988).","Selby Abbey Account Rolls: Br. Peter of Routhe (Granger), 1404-1405","Selby Abbey Granger account roll, 1404-05",,U DDLO/20/44,Hull History Centre,Archival
SAR137,"Tillotson, J.H. (ed.) Monastery and Society in the late Middle Ages: Selected account rolls from Selby Abbey, Yorkshire, 1398-1537 (Bury St Edmunds, 1988).","Selby Abbey Account Rolls: Br. Peter of Routhe (Granger), 1404-1405","Selby Abbey Granger account roll, 1404-05",,U DDLO/20/44,Hull History Centre,Archival
SAR138,"Tillotson, J.H. (ed.) Monastery and Society in the late Middle Ages: Selected account rolls from Selby Abbey, Yorkshire, 1398-1537 (Bury St Edmunds, 1988).","Selby Abbey Account Rolls: Br. Peter of Routhe (Granger), 1404-1405","Selby Abbey Granger account roll, 1404-05",,U DDLO/20/44,Hull History Centre,Archival
SAR147,"Tillotson, J.H. (ed.) Monastery and Society in the late Middle Ages: Selected account rolls from Selby Abbey, Yorkshire, 1398-1537 (Bury St Edmunds, 1988).","Selby Abbey Account Rolls: Br. Peter of Routhe (Granger), 1404-1405","Selby Abbey Granger account roll, 1404-05",,U DDLO/20/44,Hull History Centre,Archival
SAR161,"Tillotson, J.H. (ed.) Monastery and Society in the late Middle Ages: Selected account rolls from Selby Abbey, Yorkshire, 1398-1537 (Bury St Edmunds, 1988).","Selby Abbey Account Rolls: Kitchener, 1416-17","Selby Abbey Kitchener account roll, 1416-17",,U DWE/2/10,Hull History Centre,Archival
SAR166,"Tillotson, J.H. (ed.) Monastery and Society in the late Middle Ages: Selected account rolls from Selby Abbey, Yorkshire, 1398-1537 (Bury St Edmunds, 1988).","Selby Abbey Account Rolls: Kitchener, 1416-17","Selby Abbey Kitchener account roll, 1416-17",,U DWE/2/10,Hull History Centre,Archival
SAR168,"Tillotson, J.H. (ed.) Monastery and Society in the late Middle Ages: Selected account rolls from Selby Abbey, Yorkshire, 1398-1537 (Bury St Edmunds, 1988).","Selby Abbey Account Rolls: Kitchener, 1416-17","Selby Abbey Kitchener account roll, 1416-17",,U DWE/2/10,Hull History Centre,Archival
SAR173,"Tillotson, J.H. (ed.) Monastery and Society in the late Middle Ages: Selected account rolls from Selby Abbey, Yorkshire, 1398-1537 (Bury St Edmunds, 1988).","Selby Abbey Account Rolls: Kitchener, 1416-17","Selby Abbey Kitchener account roll, 1416-17",,U DWE/2/10,Hull History Centre,Archival
SAR175,"Tillotson, J.H. (ed.) Monastery and Society in the late Middle Ages: Selected account rolls from Selby Abbey, Yorkshire, 1398-1537 (Bury St Edmunds, 1988).","Selby Abbey Account Rolls: Kitchener, 1416-17","Selby Abbey Kitchener account roll, 1416-17",,U DWE/2/10,Hull History Centre,Archival
SAR183n,"Tillotson, J.H. (ed.) Monastery and Society in the late Middle Ages: Selected account rolls from Selby Abbey, Yorkshire, 1398-1537 (Bury St Edmunds, 1988).","Selby Abbey Account Rolls: Robert King, Hook tithebarn; and Richard Knaresburgh, Carlton tithe barn (Monastic Servants), 1426-1427","Selby Abbey Monastic servants account rolls, 1426-27",,U DDLO/20/68,Hull History Centre,Archival
SAR196,"Tillotson, J.H. (ed.) Monastery and Society in the late Middle Ages: Selected account rolls from Selby Abbey, Yorkshire, 1398-1537 (Bury St Edmunds, 1988).","Selby Abbey Account Rolls: Refectorian, 1421-1422","Selby Abbey Refectorian account rolls, 1421-22",,U DWE/2/11,Hull History Centre,Archival
SAR212,"Tillotson, J.H. (ed.) Monastery and Society in the late Middle Ages: Selected account rolls from Selby Abbey, Yorkshire, 1398-1537 (Bury St Edmunds, 1988).","Account Rolls of Obedientaries of Selby Abbey: Br. John Passelewe, Fabric Keeper, 1413-1414","Selby Abbey Fabric Keeper account rolls, 1413-14",,U DDLO/20/54a,Hull History Centre,Archival
SAR224,"Tillotson, J.H. (ed.) Monastery and Society in the late Middle Ages: Selected account rolls from Selby Abbey, Yorkshire, 1398-1537 (Bury St Edmunds, 1988).","Selby Abbey Account Rolls: Sacrist, 1446-1447","Selby Abbey Sacrist account rolls, 1446-47",,U DWE/2/17,Hull History Centre,Archival
SAR227,"Tillotson, J.H. (ed.) Monastery and Society in the late Middle Ages: Selected account rolls from Selby Abbey, Yorkshire, 1398-1537 (Bury St Edmunds, 1988).","Selby Abbey Account Rolls: Sacrist, 1446-1447","Selby Abbey Sacrist account rolls, 1446-47",,U DWE/2/17,Hull History Centre,Archival
SAR245,"Tillotson, J.H. (ed.) Monastery and Society in the late Middle Ages: Selected account rolls from Selby Abbey, Yorkshire, 1398-1537 (Bury St Edmunds, 1988).","Account Rolls of Obedientaries of Selby Abbey: Br. John Acastre, Almoner and Keeper of the Chantry of Walter, Bishop of Durham, 1434-1435","Selby Abbey Almoner account rolls, 1434-35",,U DDLO/20/55,Hull History Centre,Archival
SAR246,"Tillotson, J.H. (ed.) Monastery and Society in the late Middle Ages: Selected account rolls from Selby Abbey, Yorkshire, 1398-1537 (Bury St Edmunds, 1988).","Account Rolls of Obedientaries of Selby Abbey: Br. John Acastre, Almoner and Keeper of the Chantry of Walter, Bishop of Durham, 1434-1435","Selby Abbey Almoner account rolls, 1434-35",,U DDLO/20/55,Hull History Centre,Archival
SAR248,"Tillotson, J.H. (ed.) Monastery and Society in the late Middle Ages: Selected account rolls from Selby Abbey, Yorkshire, 1398-1537 (Bury St Edmunds, 1988).","Account Rolls of Obedientaries of Selby Abbey: Br. John Acastre, Almoner and Keeper of the Chantry of Walter, Bishop of Durham, 1434-1435","Selby Abbey Almoner account rolls, 1434-35",,U DDLO/20/55,Hull History Centre,Archival
SAR47,"Tillotson, J.H. (ed.) Monastery and Society in the late Middle Ages: Selected account rolls from Selby Abbey, Yorkshire, 1398-1537 (Bury St Edmunds, 1988).","Public Act, 19 Henry VII, c. 11: For Deers-hays and Buck-stalls, 1503",19 Hen. VII c. 11 For Deer-hays and Buck-stalls,,HL/PO/PU/1/1503/19H7n9,Hull History Centre,Archival
SAR67,"Tillotson, J.H. (ed.) Monastery and Society in the late Middle Ages: Selected account rolls from Selby Abbey, Yorkshire, 1398-1537 (Bury St Edmunds, 1988).","Selby Abbey Account Rolls: Bursar, 1398-1399","Selby Abbey bursar account rolls, 1398-99",,U DWE/2/5,Hull History Centre,Archival
SAR72,"Tillotson, J.H. (ed.) Monastery and Society in the late Middle Ages: Selected account rolls from Selby Abbey, Yorkshire, 1398-1537 (Bury St Edmunds, 1988).","Selby Abbey Account Rolls: Bursar, 1398-1399","Selby Abbey bursar account rolls, 1398-99",,U DWE/2/5,Hull History Centre,Archival
SAR76,"Tillotson, J.H. (ed.) Monastery and Society in the late Middle Ages: Selected account rolls from Selby Abbey, Yorkshire, 1398-1537 (Bury St Edmunds, 1988).","Selby Abbey Account Rolls: Bursar, 1398-1399","Selby Abbey bursar account rolls, 1398-99",,U DWE/2/5,Hull History Centre,Archival
SAR82,"Tillotson, J.H. (ed.) Monastery and Society in the late Middle Ages: Selected account rolls from Selby Abbey, Yorkshire, 1398-1537 (Bury St Edmunds, 1988).","Selby Abbey Account Rolls: Bursar, 1398-1399","Selby Abbey bursar account rolls, 1398-99",,U DWE/2/5,Hull History Centre,Archival
SAR88,"Tillotson, J.H. (ed.) Monastery and Society in the late Middle Ages: Selected account rolls from Selby Abbey, Yorkshire, 1398-1537 (Bury St Edmunds, 1988).","Selby Abbey Account Rolls: Bursar, 1398-1399","Selby Abbey bursar account rolls, 1398-99",,U DWE/2/5,Hull History Centre,Archival
SAR91,"Tillotson, J.H. (ed.) Monastery and Society in the late Middle Ages: Selected account rolls from Selby Abbey, Yorkshire, 1398-1537 (Bury St Edmunds, 1988).","Selby Abbey Account Rolls: Bursar, 1398-1399","Selby Abbey bursar account rolls, 1398-99",,U DWE/2/5,Hull History Centre,Archival
SAR97,"Tillotson, J.H. (ed.) Monastery and Society in the late Middle Ages: Selected account rolls from Selby Abbey, Yorkshire, 1398-1537 (Bury St Edmunds, 1988).","Account Rolls of Obedientaries of Selby Abbey: Br. John of Milyngton (Pittancer), 1403-1404","Selby Abbey pittancer account roll, 1403-04",,U DDLO/20/14,Hull History Centre,Archival
SC,,"From ‘Sessions in North and South Wales’, quoted by Davies R.R. in The Revolt of Owain Glyn Dŵr, Oxford (1995).",Sessions in North and South Wales,,,,Book
Sh,,"A Calendar of the Shrewsbury and Talbot Papers in Lambeth Palace Library, vol.1, HMSO (1966).",Calendar of Shrewbury and Talbot,,,,Book
Sheard,,"Sheard, M. Records of the Parish of Batley, Worksop (1894).","Sheard, Batley parish records",,,,Book
Speight,,"Speight, H. Chronicles of Old Bingley, London (1898).","Speight, Chronicles of Old Bingley",,,,Book
SS,,Publications of the Surtees Society. ,Surtees Society Publications,,,,Book
SS104,,"Wills and Administrations from the Knaresborough Court Rolls Vol. I, Surtees Society Vol. 104 (London, 1902).",Surtees Society vol. 104,,,,Book
SS104/102,"Wills and Administrations from the Knaresborough Court Rolls Vol. I, Surtees Society Vol. 104 (London, 1902).",Will of Thomas Wescow Senior of Pannall 24 May 1569 ,"Thomas Wescow's will, 1569",,DL 30/493/11 mem. 5,The National Archives,Archival
SS104/106,"Wills and Administrations from the Knaresborough Court Rolls Vol. I, Surtees Society Vol. 104 (London, 1902).","Will of John Michell of Lawe Croft House p. Fuiston, 28 March 1570/1","John Michell's will, 1570/1",,DL 30/493/13 mem. 5,The National Archives,Archival
SS104/107,"Wills and Administrations from the Knaresborough Court Rolls Vol. I, Surtees Society Vol. 104 (London, 1902).","Will of John Thorpe of Park end p. Fuiston, 16 January 1571/2","John Thorpe's will, 1571/2",,DL 30/493/14 mem. 4,The National Archives,Archival
SS104/109,"Wills and Administrations from the Knaresborough Court Rolls Vol. I, Surtees Society Vol. 104 (London, 1902).","Will of Jennet Wilson of Felliscliff, 28 January 1572/3","Jennet Wilson's will, 1572/3",,DL 30/493/15 mem. 4,The National Archives,Archival
SS104/113,"Wills and Administrations from the Knaresborough Court Rolls Vol. I, Surtees Society Vol. 104 (London, 1902).","Will of John Hearfield Senior of Tymble, 16 February 1574/5","John Hearfield Senior's will, 1574/5",,DL 30/494/2 mem. 5,The National Archives,Archival
SS104/114,"Wills and Administrations from the Knaresborough Court Rolls Vol. I, Surtees Society Vol. 104 (London, 1902).","Will of Richard Askwith of Hampsthwaite, nd","Richard Askwith's will, nd",,DL 30/494/2 mem. 6,The National Archives,Archival
SS104/12/1,"Wills and Administrations from the Knaresborough Court Rolls Vol. I, Surtees Society Vol. 104 (London, 1902).","Will of William Gill of Thorescros, nd","William Gill's will, nd",,DL 30/490/14 mem. 4,The National Archives,Archival
SS104/12/2,"Wills and Administrations from the Knaresborough Court Rolls Vol. I, Surtees Society Vol. 104 (London, 1902).","Will of Elizabeth Kirkby of Harrogate, 30 July 1522","Elizabeth Kirkby's will, 1522",,DL 30/490/14 mem. 12,The National Archives,Archival
SS104/124,"Wills and Administrations from the Knaresborough Court Rolls Vol. I, Surtees Society Vol. 104 (London, 1902).","Will of William Dowgill of Rossehirst, 13 November 1577","William Dowgill's will, 1577",,DL 30/494/5 mem. 3,The National Archives,Archival
SS104/126,"Wills and Administrations from the Knaresborough Court Rolls Vol. I, Surtees Society Vol. 104 (London, 1902).","Will of William Thorp of Longhouse p. Fuiston, 2 July 1577","William Thorp's will, 1577",,DL 30/494/5 mem. 12,The National Archives,Archival
SS104/127,"Wills and Administrations from the Knaresborough Court Rolls Vol. I, Surtees Society Vol. 104 (London, 1902).","Will of William Snow of Holme, 12 November 1578","William Snow's will, 1578",,DL 30/494/6 mem. 3,The National Archives,Archival
SS104/13,"Wills and Administrations from the Knaresborough Court Rolls Vol. I, Surtees Society Vol. 104 (London, 1902).","Will of Elizabeth Kirkby of Harrogate, 30 July 1522","Elizabeth Kirkby's will, 1522",,DL 30/490/14 mem. 12,The National Archives,Archival
SS104/131,"Wills and Administrations from the Knaresborough Court Rolls Vol. I, Surtees Society Vol. 104 (London, 1902).","Will of Sir William Ingilby of Padsiderhead, 22 July 1582","Sir William Ingilby's will, 1582",,DL 30/494/6 mem. 9,The National Archives,Archival
SS104/132,"Wills and Administrations from the Knaresborough Court Rolls Vol. I, Surtees Society Vol. 104 (London, 1902).","Will of Sir William Ingilby of Padsiderhead, 22 July 1582","Sir William Ingilby's will, 1582",,DL 30/494/6 mem. 9,The National Archives,Archival
SS104/133,"Wills and Administrations from the Knaresborough Court Rolls Vol. I, Surtees Society Vol. 104 (London, 1902).","Will of Sir William Ingilby of Padsiderhead, 22 July 1582","Sir William Ingilby's will, 1582",,DL 30/494/6 mem. 9,The National Archives,Archival
SS104/134,"Wills and Administrations from the Knaresborough Court Rolls Vol. I, Surtees Society Vol. 104 (London, 1902).","Will of Sir William Ingilby of Padsiderhead, 22 July 1582","Sir William Ingilby's will, 1582",,DL 30/494/6 mem. 9,The National Archives,Archival
SS104/135,"Wills and Administrations from the Knaresborough Court Rolls Vol. I, Surtees Society Vol. 104 (London, 1902).","Will of Sir William Ingilby of Padsiderhead, 22 July 1582","Sir William Ingilby's will, 1582",,DL 30/494/6 mem. 9,The National Archives,Archival
SS104/136,"Wills and Administrations from the Knaresborough Court Rolls Vol. I, Surtees Society Vol. 104 (London, 1902).","Will of Thomas Shepherd of Clifton, 8 July 1579","Thomas Shepherd's will, 1579",,DL 30/494/7 mem. 3,The National Archives,Archival
SS104/143,"Wills and Administrations from the Knaresborough Court Rolls Vol. I, Surtees Society Vol. 104 (London, 1902).","Will of William Casse of Knaresborough, 30 October 1582","William Casse's will, 1582",,DL 30/494/10 mem. 4,The National Archives,Archival
SS104/145,"Wills and Administrations from the Knaresborough Court Rolls Vol. I, Surtees Society Vol. 104 (London, 1902).","Will of John Roundell of Scriven, 20 February 1584/5","John Roundell's will, 1584/5",,DL 30/494/11 mem. 6,The National Archives,Archival
SS104/151,"Wills and Administrations from the Knaresborough Court Rolls Vol. I, Surtees Society Vol. 104 (London, 1902).","Will of Thomas Coghill of Tentergait, 27 October 1586","Thomas Coghill's will, 1586",,DL 30/494/12 mem. 4,The National Archives,Archival
SS104/152,"Wills and Administrations from the Knaresborough Court Rolls Vol. I, Surtees Society Vol. 104 (London, 1902).","Will of Thomas Coghill of Tentergait, 27 October 1586","Thomas Coghill's will, 1586",,DL 30/494/12 mem. 4,The National Archives,Archival
SS104/158,"Wills and Administrations from the Knaresborough Court Rolls Vol. I, Surtees Society Vol. 104 (London, 1902).","Will of John Dearlove of Tentergaitt, 3 April 1588","John Dearlove's will, 1588",,DL 30/494/13 mem. 10,The National Archives,Archival
SS104/16,"Wills and Administrations from the Knaresborough Court Rolls Vol. I, Surtees Society Vol. 104 (London, 1902).","Will of Richard Dearlove of Knareborough, 8 July 1523","Richard Dearlove's will, 1523",,DL 30/490/15 mem. 8,The National Archives,Archival
SS104/163,"Wills and Administrations from the Knaresborough Court Rolls Vol. I, Surtees Society Vol. 104 (London, 1902).","Will of Robert Moor of Brestethe, 10 April 1589","Robert Moor's will, 1589",,DL 30/495/1 mem. 8,The National Archives,Archival
SS104/166,"Wills and Administrations from the Knaresborough Court Rolls Vol. I, Surtees Society Vol. 104 (London, 1902).","Will of John Dowson of Screvinge, 8 April 1590","John Dowson's will, 1590",,DL 30/495/2 mem. 9,The National Archives,Archival
SS104/169,"Wills and Administrations from the Knaresborough Court Rolls Vol. I, Surtees Society Vol. 104 (London, 1902).","Will of Thomas Lowcocke of Shipcote in Thruscrosse, 25 November 1590","Thomas Lowcocke's will, 1590",,DL 30/495/3 mem. 6,The National Archives,Archival
SS104/17,"Wills and Administrations from the Knaresborough Court Rolls Vol. I, Surtees Society Vol. 104 (London, 1902).","Will of Richard Dearlove of Knareborough, 8 July 1523","Richard Dearlove's will, 1523",,DL 30/490/15 mem. 8,The National Archives,Archival
SS104/170,"Wills and Administrations from the Knaresborough Court Rolls Vol. I, Surtees Society Vol. 104 (London, 1902).","Will of Joan Lodge of Yearewith Holinges, 24 March 1591","Joan Lodge's will, 1591",,DL 30/495/3 mem. 8,The National Archives,Archival
SS104/172,"Wills and Administrations from the Knaresborough Court Rolls Vol. I, Surtees Society Vol. 104 (London, 1902).","Will of Christopher Whelous of Clint, 31 March 1592","Christopher Whelous' will, 1592",,DL 30/495/4 mem. 3,The National Archives,Archival
SS104/175,"Wills and Administrations from the Knaresborough Court Rolls Vol. I, Surtees Society Vol. 104 (London, 1902).","Will of Robert Skayf the elder of Wynnesley, 12 January 1591/2","Robert Skayf the elder's will, 1591/2",,DL 30/495/4 mem. 7,The National Archives,Archival
SS104/176,"Wills and Administrations from the Knaresborough Court Rolls Vol. I, Surtees Society Vol. 104 (London, 1902).","Will of Robert Skayf the elder of Wynnesley, 12 January 1591/2","Robert Skayf the elder's will, 1591/2",,DL 30/495/4 mem. 7,The National Archives,Archival
SS104/187,"Wills and Administrations from the Knaresborough Court Rolls Vol. I, Surtees Society Vol. 104 (London, 1902).","Will of John Knowles of Lundhousegrene, 5 April 1593","John Knowles' will, 1593",,DL 30/495/5 mem. 6,The National Archives,Archival
SS104/19,"Wills and Administrations from the Knaresborough Court Rolls Vol. I, Surtees Society Vol. 104 (London, 1902).","Will of William Hall of Pannall, 10 January 1515/16","William Hall's will, 1515/16",,DL 30/490/18 mem. 5,The National Archives,Archival
SS104/195,"Wills and Administrations from the Knaresborough Court Rolls Vol. I, Surtees Society Vol. 104 (London, 1902).","Will of James Beane of Killinghall, 11 April 1594","James Beane's will, 1594",,DL 30/495/7 mem. 5,The National Archives,Archival
SS104/2,"Wills and Administrations from the Knaresborough Court Rolls Vol. I, Surtees Society Vol. 104 (London, 1902).","Will of John Benson of Bekwithshawe, 28 April 1512","John Benson's will, 1512",,DL 30/493/3 mem. 8,The National Archives,Archival
SS104/20,"Wills and Administrations from the Knaresborough Court Rolls Vol. I, Surtees Society Vol. 104 (London, 1902).","Will of John Busby of Tentergate, 22 August 1526","John Busby's will, 1526",,DL 30/490/18 mem. 7,The National Archives,Archival
SS104/200,"Wills and Administrations from the Knaresborough Court Rolls Vol. I, Surtees Society Vol. 104 (London, 1902).","Will of William Fletcher of Knaresborough, 29 April 1595","William Fletcher's will, 1595",,DL 30/495/9 mem. 10,The National Archives,Archival
SS104/213,"Wills and Administrations from the Knaresborough Court Rolls Vol. I, Surtees Society Vol. 104 (London, 1902).","Will of Katherine Beckwith of Thorpe near Rippon, 12 October 1598","Katherine Beckwith's will, 1598",,DL 30/495/13 mem. 2,The National Archives,Archival
SS104/214,"Wills and Administrations from the Knaresborough Court Rolls Vol. I, Surtees Society Vol. 104 (London, 1902).","Will of Katherine Beckwith of Thorpe near Rippon, 12 October 1598","Katherine Beckwith's will, 1598",,DL 30/495/13 mem. 2,The National Archives,Archival
SS104/221,"Wills and Administrations from the Knaresborough Court Rolls Vol. I, Surtees Society Vol. 104 (London, 1902).","Will of Robert Moore of Ketlsinge, nd","Robert Moore's will, nd",,DL 30/495/15 mem. 5,The National Archives,Archival
SS104/222,"Wills and Administrations from the Knaresborough Court Rolls Vol. I, Surtees Society Vol. 104 (London, 1902).","Will of Dorothe Becke of Harrogayte, 24 September 1600","Dorothe Becke's will, 1600",,DL 30/495/15 mem. 18,The National Archives,Archival
SS104/223,"Wills and Administrations from the Knaresborough Court Rolls Vol. I, Surtees Society Vol. 104 (London, 1902).","Will of Thomas Hill of Windsore, nd","Thomas Hill's will, nd",,DL 30/495/15 mem. 19,The National Archives,Archival
SS104/236,"Wills and Administrations from the Knaresborough Court Rolls Vol. I, Surtees Society Vol. 104 (London, 1902).","Will of Laurence Calvert of Fuiston, 28 September 1603","Laurence Calvert's will, 1603",,DL 30/495/18 mem. 15,The National Archives,Archival
SS104/240,"Wills and Administrations from the Knaresborough Court Rolls Vol. I, Surtees Society Vol. 104 (London, 1902).","Will of John Simpson of Rawden, [1603/4]","John Simpson's will, [1603/4]",,DL 30/496/1 mem. 16,The National Archives,Archival
SS104/241,"Wills and Administrations from the Knaresborough Court Rolls Vol. I, Surtees Society Vol. 104 (London, 1902).","Will of William Bramley of Winsley, [1603/4]","William Bramley's will, [1603/4]",,DL 30/496/1 mem. 17,The National Archives,Archival
SS104/248,"Wills and Administrations from the Knaresborough Court Rolls Vol. I, Surtees Society Vol. 104 (London, 1902).","Will of Robert Thorpe of Fuiston, [1606/7]","Robert Thorpe's will, [1606/7]",,DL 30/496/4 mem. 15,The National Archives,Archival
SS104/252,"Wills and Administrations from the Knaresborough Court Rolls Vol. I, Surtees Society Vol. 104 (London, 1902).","Will of Leonard Bransby of Tentergate, [1606/7]","Leonard Bransby's will, [1606/7]",,DL 30/496/4 mem. 17,The National Archives,Archival
SS104/26,"Wills and Administrations from the Knaresborough Court Rolls Vol. I, Surtees Society Vol. 104 (London, 1902).","Will of Thomas Atkinson of Clynte, 16 July 1533","Thomas Atkinson's will, 1533",,DL 30/491/5 mem. 8,The National Archives,Archival
SS104/29,"Wills and Administrations from the Knaresborough Court Rolls Vol. I, Surtees Society Vol. 104 (London, 1902).","Will of Richard Stevynson of Knareborough, 12 September 1537","Richard Stevynson's will, 1537",,DL 30/491/9 mem. 6,The National Archives,Archival
SS104/3,"Wills and Administrations from the Knaresborough Court Rolls Vol. I, Surtees Society Vol. 104 (London, 1902).","Will of John Smythe, 22 June 1513","John Smythe's will, 1513",,DL 30/490/5 mem. 7,The National Archives,Archival
SS104/30,"Wills and Administrations from the Knaresborough Court Rolls Vol. I, Surtees Society Vol. 104 (London, 1902).","Administration of William Bardeyn of Pannall, 15 May 1538","William Bardeyn's administration, 1538",,DL 30/491/10 mem. 8,The National Archives,Archival
SS104/32/1,"Wills and Administrations from the Knaresborough Court Rolls Vol. I, Surtees Society Vol. 104 (London, 1902).","Will of Robert Kirkby of Harogate, 10 March 1539/40","Robert Kirkby's will, 1539/40",,DL 30/491/12 mem. 4,The National Archives,Archival
SS104/32/2,"Wills and Administrations from the Knaresborough Court Rolls Vol. I, Surtees Society Vol. 104 (London, 1902).","Will of Robert Elsworth of Pyelone p. Ripley, 12 November 1539","Robert Elsworth's will, 1539",,DL 30/491/12 mem. 3,The National Archives,Archival
